POLLUTANT_CODE,POLLUTANT_CODE_DESC,HAP_CATEGORY_NAME,Chemical Formula,Molecular Weight,ACTIVE,LAST_MODIFICATION_DATE,VALID_V20,VALID_V30,COMMENT,Urban HAP 33,Urban HAP_baseline_33,NATO_TEQ,WHO_TEQ,I_TEQ,OzonePrecursor,PMPrecursor,HAP_or_CAP,Pollutant_Rank
120821,"1,2,4-Trichlorobenzene","1,2,4-Trichlorobenzene",C6H3Cl3,181.45,Y,11/26/2001 11:02,Y,Y,,0,0,,,,1,0,HAP,1
121142,"2,4-Dinitrotoluene","2,4-Dinitrotoluene",C7H6N2O4,182.14,Y,11/26/2001 11:02,Y,Y,,0,0,,,,1,1,HAP,1
12136913,Phosphorous Nitride,Phosphorus Compounds,,,N,5/5/2004 10:07,Y,N,The pollutant is no longer active.,0,0,,,,0,1,,
1307966,Cobalt Oxide,Cobalt Compounds,CoO,74.93,Y,11/26/2001 11:02,Y,Y,,0,0,,,,0,1,HAP,1
1308061,"Cobalt Oxide (II,III)",Cobalt Compounds,Co3O4,240.8,Y,11/26/2001 11:02,Y,Y,,0,0,,,,0,1,HAP,1
1308130,Zinc Chromate,Chromium Compounds,,,N,5/5/2004 10:07,N,N,The pollutant is no longer active.  The correct pollutant code is 13530659.,1,1,,,,0,1,,
1308141,Chromium Hydroxide,Chromium Compounds,Cr(OH)3,103.02,Y,11/26/2001 11:02,Y,Y,,1,1,,,,0,1,HAP,1
1308389,Chromic Oxide,Chromium Compounds,Cr2O3,151.99,Y,11/26/2001 11:02,Y,Y,,1,1,,,,0,1,HAP,1
1309600,Lead Dioxide,Lead Compounds,PbO2,239.2,Y,11/26/2001 11:02,Y,Y,,1,1,,,,0,1,HAP,1
1309644,Antimony Trioxide,Antimony Compounds,Sb2O3,291.52,Y,11/26/2001 11:02,Y,Y,,0,0,,,,0,1,HAP,1
131113,Dimethyl Phthalate,Dimethyl Phthalate,C10H10O4,194.19,Y,11/26/2001 11:02,Y,Y,,0,0,,,,1,1,HAP,1
1313139,Manganese Dioxide,Manganese Compounds,MnO2,86.94,Y,11/26/2001 11:02,Y,Y,,1,1,,,,0,1,HAP,1
13138459,Nickel Nitrate,Nickel Compounds,Ni(HNO3)2,184.72,Y,11/26/2001 11:02,Y,Y,,1,1,,,,0,1,HAP,1
1313991,Nickel Oxide,Nickel Compounds,NiO,74.69,Y,11/26/2001 11:02,Y,Y,,1,1,,,,0,1,HAP,1
1314063,Nickel Peroxide,Nickel Compounds,Ni2O3,165.39,Y,11/26/2001 11:02,Y,Y,,1,1,,,,0,1,HAP,1
1314245,Phosphorus Trioxide,Phosphorus Compounds,,,N,5/5/2004 10:07,Y,N,The pollutant is no longer active.,0,0,,,,0,1,,
1314416,"Lead (II, IV) Oxide",Lead Compounds,Pb3O4,685.6,Y,11/26/2001 11:02,Y,Y,,1,1,,,,0,1,HAP,1
1314563,Phosphorus Pentoxide,Phosphorus Compounds,,,N,5/5/2004 10:07,Y,N,The pollutant is no longer active.,0,0,,,,0,1,,
1314803,Phosphorus Pentasulfide,Phosphorus Compounds,,,N,5/5/2004 10:07,Y,N,The pollutant is no longer active.,0,0,,,,0,1,,
1317346,Manganese Trioxide,Manganese Compounds,Mn2O3,157.87,Y,3/13/2003 9:14,N,Y,,1,1,,,,0,1,HAP,1
1317357,Manganese Tetroxide,Manganese Compounds,Mn3O4,228.81,Y,11/26/2001 11:02,Y,Y,,1,1,,,,0,1,HAP,1
1317368,Lead (II) Oxide,Lead Compounds,PbO,223.2,Y,11/26/2001 11:02,Y,Y,,1,1,,,,0,1,HAP,1
13173681,Lead Mono Oxide,Lead Compounds,,,N,9/19/2002 0:00,Y,N,,0,0,,,,0,0,,
1317426,Cobalt Sulfide,Cobalt Compounds,CoS,91,Y,11/26/2001 11:02,Y,Y,,0,0,,,,0,1,HAP,1
1319773,Cresol,Cresol/Cresylic Acid (Mixed Isomers),C7H8O,108.14,Y,11/26/2001 11:02,Y,Y,,0,0,,,,1,1,HAP,1
132649,Dibenzofuran,Dibenzofuran,C12H8O,168.19,Y,11/26/2001 11:02,Y,Y,,0,0,,,,0,1,HAP,1
1327339,Antimony Oxide,Antimony Compounds,SbO,137.36,Y,11/26/2001 11:02,Y,Y,,0,0,,,,0,1,HAP,1
1327522,Arsenic Acid,Arsenic Compounds(Inorganic Including Arsine),,,N,5/5/2004 10:07,Y,N,The pollutant is no longer active.  The correct pollutant code is 7778394.,1,1,,,,0,1,,
1327533,Arsenic Trioxide,Arsenic Compounds(Inorganic Including Arsine),As2O3,197.84,Y,11/26/2001 11:02,Y,Y,,1,1,,,,0,1,HAP,1
1330207,"Xylenes (Mixture of o, m, and p Isomers)",Xylenes (Mixed Isomers),C8H10,106.17,Y,11/26/2001 11:02,Y,Y,,0,0,,,,1,0,HAP,1
133062,Captan,Captan,C9H8Cl3NO2S,300.59,Y,11/26/2001 11:02,Y,Y,,0,0,,,,0,1,HAP,1
1332214,Asbestos,Asbestos,,,Y,11/26/2001 11:02,Y,Y,,0,0,,,,0,1,HAP,1
1333820,Chromium Trioxide,Chromium Compounds,CrO3,99.99,Y,11/26/2001 11:02,Y,Y,,1,1,,,,0,1,HAP,1
1335257,Lead Oxide,Lead Compounds,PbO,223.2,Y,3/13/2003 9:14,N,Y,,1,1,,,,0,1,HAP,1
1335326,Lead Subacetate,Lead Compounds, Pb3C4H10O8,807.72,Y,11/26/2001 11:02,Y,Y,,1,1,,,,0,1,HAP,1
1336363,Polychlorinated Biphenyls,Polychlorinated Biphenyls (Aroclors),,,Y,11/26/2001 11:02,Y,Y,,1,1,,,,1,1,HAP,1
1336932,Manganese Napthenate,Manganese Compounds,C14H22MnO4,309.26,Y,11/26/2001 11:02,Y,Y,,1,1,,,,0,1,HAP,1
133904,Chloramben,Chloramben,C7H5Cl2NO2,206.03,Y,11/26/2001 11:02,Y,Y,,0,0,,,,0,1,HAP,1
1345046,Antimony Trisulfide,Antimony Compounds,Sb2S3,339.72,Y,11/26/2001 11:02,Y,Y,,0,0,,,,0,1,HAP,1
1345160,Cobalt Aluminate,Cobalt Compounds,CoO · Al2O3,176.9,Y,11/26/2001 11:02,Y,Y,,0,0,,,,0,1,HAP,1
13462889,Nickel Bromide,Nickel Compounds,NiBr2,218.5,Y,11/26/2001 11:02,Y,Y,,1,1,,,,0,1,HAP,1
